time,lst
2014-05-01,285.04374197500925
2014-06-01,282.01757766360885
2014-07-01,281.35829524984547
2014-08-01,284.54470030141226
2014-09-01,290.96278703133504
2014-10-01,295.25838990378094
2014-11-01,300.4293030823376
2014-12-01,304.13595036587554
2015-01-01,304.9315432656026
2015-02-01,303.46849575012135
2015-03-01,300.28015475116854
2015-04-01,289.2518302159075
2015-05-01,282.76244730726165
2015-06-01,280.4710548260935
2015-07-01,280.69652228026314
2015-08-01,284.2665373895984
2015-09-01,286.5046895347167
2015-10-01,296.38509006588123
2015-11-01,297.64252378841957
2015-12-01,302.0982271396557
2016-01-01,301.009995929102
2016-02-01,300.5915847724787
2016-03-01,296.9747581792663
2016-04-01,293.25995394211947
2016-05-01,289.09795901146714
2016-06-01,282.6576004762254
2016-07-01,282.11030428818884
2016-08-01,290.9441239335372
2016-09-01,293.7782860355419
2016-10-01,296.4290209243669
2016-11-01,302.31930609817766
2016-12-01,299.9047690096283
2017-01-01,302.39916059188187
2017-02-01,301.2657144867064
2017-03-01,300.813717546841
2017-04-01,290.4140273270283
2017-05-01,284.2615441707699
2017-06-01,306.448801582352
2017-07-01,279.2188969866403
2017-08-01,286.4927744971264
2017-09-01,293.5789498933728
2017-10-01,297.3290613994608
2017-11-01,300.75635810883034
2017-12-01,305.8419820133451
2018-01-01,302.17431494808136
2018-02-01,299.9525818909768
2018-03-01,297.0992984610862
2018-04-01,296.8924270683844
2018-05-01,289.2020160096038
2018-06-01,311.8814510253488
2018-07-01,281.9794054638375
2018-08-01,287.97094594616266
2018-09-01,292.3011309896455
2018-10-01,296.6226270616697
2018-11-01,299.4446943451591
2018-12-01,301.0550230830565
2019-01-01,301.6101732227457
2019-02-01,303.8389387616618
2019-03-01,298.635144760054
2019-04-01,292.30958696416906
2019-05-01,290.63090036850076
2019-06-01,284.22199364900587
2019-07-01,285.71067684554487
2019-08-01,290.6750243214104
2019-09-01,300.037975048325
2019-10-01,293.96618352275175
2019-11-01,297.24571341173885
2019-12-01,301.72485664576453
2020-01-01,301.3573991353242
2020-02-01,299.3326662197429
2020-03-01,298.5298055489323
2020-04-01,293.28729112740297
2020-05-01,288.3118949660402
2020-06-01,285.4548261573351
2020-07-01,283.6771567817513
2020-08-01,288.86821309000084
2020-09-01,293.9803871105888
2020-10-01,295.96248937803375
2020-11-01,301.7941227400527
2020-12-01,304.6723776847348
